Wavelength,a,b
692.211,14.642,-0.986
692.265,14.7,-0.986
692.319,14.634,-0.986
692.373,14.659,-0.986
692.427,14.482,-0.985
692.48,14.648,-0.988
692.534,14.553,-0.985
692.588,14.648,-0.987
692.642,14.46,-0.985
692.695,14.536,-0.986
692.749,14.371,-0.985
692.803,14.442,-0.985
692.856,14.428,-0.985
692.91,14.415,-0.985
692.964,14.534,-0.986
693.017,14.561,-0.986
693.071,14.404,-0.985
693.125,14.343,-0.985
693.178,14.436,-0.985
693.232,14.429,-0.985
693.286,14.382,-0.985
693.339,14.561,-0.986
693.393,14.398,-0.985
693.447,14.393,-0.985
693.5,14.486,-0.987
693.554,14.42,-0.986
693.607,14.368,-0.985
693.661,14.373,-0.986
693.714,14.364,-0.985
693.768,14.394,-0.985
693.822,14.381,-0.985
693.875,14.57,-0.988
693.929,14.497,-0.986
693.982,14.395,-0.985
694.036,14.45,-0.986
694.089,14.414,-0.986
694.143,14.394,-0.985
694.196,14.369,-0.985
694.25,14.32,-0.985
694.303,14.364,-0.985
694.357,14.494,-0.988
694.41,14.351,-0.985
694.463,14.281,-0.985
694.517,14.323,-0.985
694.57,14.267,-0.984
694.624,14.269,-0.985
694.677,14.234,-0.985
694.73,14.19,-0.985
694.784,14.221,-0.985
694.837,14.228,-0.985
694.891,14.522,-0.989
694.944,14.297,-0.985
694.997,14.117,-0.984
695.051,14.282,-0.985
695.104,14.281,-0.986
695.157,14.21,-0.986
695.211,14.304,-0.985
695.264,14.201,-0.985
695.317,14.252,-0.985
695.37,14.27,-0.985
695.424,14.304,-0.985
695.477,14.219,-0.985
695.53,14.331,-0.986
695.583,14.223,-0.985
695.637,14.286,-0.986
695.69,14.327,-0.986
695.743,14.216,-0.985
695.796,14.337,-0.987
695.85,14.236,-0.986
695.903,14.26,-0.985
695.956,14.184,-0.985
696.009,14.168,-0.985
696.062,14.162,-0.985
696.115,14.138,-0.985
696.169,14.182,-0.986
696.222,14.15,-0.985
696.275,14.078,-0.985
696.328,14.013,-0.984
696.381,14.091,-0.985
696.434,14.2,-0.985
696.487,14.185,-0.986
696.54,14.044,-0.984
696.593,14.085,-0.984
696.646,14.078,-0.984
696.7,14.011,-0.984
696.753,13.996,-0.984
696.806,14.023,-0.985
696.859,14.134,-0.987
696.912,14.114,-0.985
696.965,13.986,-0.984
697.018,14.099,-0.985
697.071,14.142,-0.986
697.124,14.185,-0.988
697.177,14.146,-0.985
697.23,14.055,-0.985
697.283,14.271,-0.988
697.336,14.093,-0.985
697.388,14.185,-0.987
697.441,14.071,-0.985
697.494,14.074,-0.985
697.547,14.132,-0.985
697.6,14.014,-0.985
697.653,14.105,-0.985
697.706,14.094,-0.985
697.759,14.231,-0.986
697.812,14.012,-0.985
697.864,13.986,-0.985
697.917,14.05,-0.985
697.97,14.066,-0.985
698.023,14.075,-0.985
698.076,14.056,-0.985
698.129,14.013,-0.985
698.181,14.024,-0.984
698.234,14.084,-0.985
698.287,14.038,-0.985
698.34,14.242,-0.988
698.393,14.155,-0.987
698.445,14.073,-0.985
698.498,13.957,-0.984
698.551,14.09,-0.985
698.604,14.096,-0.985
698.656,14.037,-0.985
698.709,14.105,-0.985
698.762,13.982,-0.985
698.814,14.617,-0.994
698.867,13.929,-0.985
698.92,14.068,-0.986
698.972,14.007,-0.985
699.025,14.036,-0.985
699.078,14.041,-0.986
699.13,14.139,-0.985
699.183,14.063,-0.985
699.236,14.143,-0.986
699.288,14.032,-0.985
699.341,14.081,-0.985
699.393,14.065,-0.985
699.446,14.061,-0.985
699.499,14.068,-0.985
699.551,14.117,-0.985
699.604,14.12,-0.985
699.656,14.161,-0.986
699.709,13.997,-0.985
699.761,14.043,-0.986
699.814,13.91,-0.984
699.866,14.04,-0.984
699.919,14.028,-0.984
699.971,13.987,-0.984
700.024,13.895,-0.984
700.076,13.978,-0.984
700.129,14.019,-0.985
700.181,14.011,-0.984
700.234,13.97,-0.984
700.286,14.04,-0.985
700.338,14.006,-0.985
700.391,14.069,-0.985
700.443,13.981,-0.984
700.496,14.057,-0.985
700.548,14.101,-0.986
700.6,14.091,-0.986
700.653,13.984,-0.985
700.705,14.033,-0.985
700.758,14.055,-0.985
700.81,13.978,-0.985
700.862,14.009,-0.985
700.915,14.01,-0.985
700.967,14.054,-0.986
701.019,13.95,-0.985
701.072,14.017,-0.986
701.124,13.951,-0.985
701.176,14.055,-0.985
701.228,13.967,-0.985
701.281,13.982,-0.985
701.333,14.057,-0.985
701.385,13.945,-0.985
