Wavelength,a,b
682.992,1.188615492,-0.992360645
683.15,1.187428051,-0.992313491
683.309,1.191498656,-0.992887686
683.468,1.194056822,-0.993345796
683.627,1.189299607,-0.992762708
683.785,1.185645956,-0.992430012
683.944,1.187130647,-0.992676608
684.102,1.185263172,-0.992538204
684.261,1.196027029,-0.993972792
684.419,1.18460695,-0.992643253
684.578,1.183968814,-0.992753737
684.736,1.183283827,-0.992913785
684.895,1.183993893,-0.993087186
685.053,1.17784994,-0.992457652
685.211,1.178555374,-0.99260966
685.37,1.182006806,-0.993196942
685.528,1.176901509,-0.992729353
685.686,1.177558998,-0.992850583
685.844,1.177751466,-0.993033209
686.003,1.181063625,-0.993444041
686.161,1.179662272,-0.993379182
686.319,1.176862291,-0.993064259
686.477,1.174852203,-0.992802644
686.635,1.178618081,-0.993410159
686.793,1.175885621,-0.993166934
686.951,1.171195503,-0.992662436
687.109,1.167613857,-0.992352983
687.267,1.171179901,-0.992898809
687.425,1.167621621,-0.992537234
687.583,1.16924378,-0.992877908
687.74,1.166843055,-0.992767922
687.898,1.170187992,-0.993407873
688.056,1.165164255,-0.992847374
688.214,1.165683609,-0.993056986
688.371,1.170488531,-0.99373789
688.529,1.163984395,-0.993001335
688.686,1.164627145,-0.993097225
688.844,1.15841993,-0.992289046
689.002,1.160957101,-0.992634224
689.159,1.162517945,-0.99289994
689.317,1.164724624,-0.993225885
689.474,1.159238086,-0.992642754
689.631,1.158587743,-0.992613883
689.789,1.15982192,-0.99297766
689.946,1.152872609,-0.992250903
690.104,1.158161838,-0.993017363
690.261,1.154442787,-0.992670213
690.418,1.154553115,-0.992793656
690.575,1.154451769,-0.992869442
690.732,1.157076088,-0.993333221
690.89,1.146724202,-0.992093543
691.047,1.150560207,-0.992625421
691.204,1.153649741,-0.993111141
691.361,1.148466269,-0.992490496
691.518,1.152792961,-0.993078802
691.675,1.146052825,-0.992219975
691.832,1.14540993,-0.992205641
691.989,1.152875319,-0.993199226
692.146,1.154588669,-0.993510978
692.302,1.146321504,-0.992501447
692.459,1.151966441,-0.993325408
692.616,1.144910532,-0.992505696
692.773,1.143726458,-0.9924346
692.93,1.140585953,-0.99213612
693.086,1.145213285,-0.992875469
693.243,1.148704285,-0.993461848
693.4,1.138649617,-0.992235086
693.556,1.142713562,-0.992868852
693.713,1.13968007,-0.992553444
693.869,1.136010153,-0.992099751
694.026,1.136406185,-0.992232295
694.182,1.140802305,-0.992832223
694.339,1.134817375,-0.992070765
694.495,1.141611547,-0.99297424
694.651,1.135405289,-0.99213925
694.808,1.138969759,-0.992626272
694.964,1.135368578,-0.992178941
695.12,1.142772368,-0.993186423
695.276,1.138341126,-0.992694347
695.433,1.139862965,-0.99302545
695.589,1.136343603,-0.992696285
695.745,1.135619138,-0.992694187
695.901,1.135326945,-0.992746654
696.057,1.138911146,-0.993314722
696.213,1.126279558,-0.991809559
696.369,1.137867027,-0.993360446
696.525,1.131407984,-0.992504695
696.681,1.128271739,-0.992213047
696.837,1.13333306,-0.992967789
696.993,1.127033295,-0.992096177
697.149,1.12808824,-0.99236283
697.304,1.126971691,-0.992213551
697.46,1.13007875,-0.992698835
697.616,1.133489002,-0.993214824
697.772,1.129985736,-0.992662801
697.927,1.12894679,-0.992494775
698.083,1.134679274,-0.993288991
698.238,1.13091124,-0.992740712
698.394,1.135691132,-0.993400611
698.55,1.130472305,-0.992794719
698.705,1.130339539,-0.992866543
698.861,1.127601054,-0.992642117
699.016,1.126478623,-0.99257515
699.171,1.120040337,-0.991829879
699.327,1.126584058,-0.99280193
699.482,1.124683113,-0.992623698
699.637,1.127268852,-0.993068629
699.793,1.120593819,-0.992220933
699.948,1.123771675,-0.992596663
700.103,1.125368332,-0.992916787
700.258,1.123883436,-0.992695365
700.413,1.122092774,-0.992354698
700.569,1.1223418,-0.992410221
700.724,1.126765748,-0.992988088
700.879,1.122504589,-0.992427788
701.034,1.123708908,-0.992536966
701.189,1.125252047,-0.992839075
701.344,1.122659987,-0.992488205
701.498,1.122762159,-0.992523732
701.653,1.124470323,-0.99276961
701.808,1.119856446,-0.99224986
701.963,1.123584927,-0.992887305
702.118,1.12056239,-0.992595864
702.273,1.123252643,-0.993073069
702.427,1.121621171,-0.992858156
702.582,1.117729786,-0.992471303
702.737,1.11296346,-0.992019573
702.891,1.122317784,-0.993264031
703.046,1.111966636,-0.991878811
703.2,1.109926356,-0.99163574
703.355,1.118937407,-0.992789434
703.509,1.121596072,-0.993045211
703.664,1.118172014,-0.992545112
703.818,1.118840351,-0.992613754
703.973,1.118739628,-0.992625631
704.127,1.121637362,-0.993071852
704.281,1.119970381,-0.99290982
704.435,1.110657021,-0.991811706
704.59,1.118102074,-0.99288805
704.744,1.11352629,-0.992300869
704.898,1.121042739,-0.993399121
705.052,1.112328373,-0.99228638
705.206,1.110809511,-0.992128161
705.36,1.108054108,-0.991909864
705.515,1.112558181,-0.992412572
705.669,1.110581322,-0.992261779
705.823,1.109851649,-0.992236921
705.976,1.111019569,-0.992417377
706.13,1.11136991,-0.99248907
706.284,1.108638635,-0.992233779
706.438,1.111148742,-0.992528504
706.592,1.110100958,-0.992410931
706.746,1.108566467,-0.992129019
706.899,1.123373123,-0.993958821
707.053,1.113036016,-0.992554754
707.207,1.111756082,-0.992382299
707.361,1.114817095,-0.992705256
707.514,1.112679589,-0.992430699
707.668,1.111228543,-0.992310358
707.821,1.114878913,-0.99295367
707.975,1.109907839,-0.992329183
708.128,1.108147873,-0.992201072
708.282,1.11653891,-0.993332321
708.435,1.110478807,-0.992659438
708.589,1.1134598,-0.993072455
708.742,1.111103043,-0.992751296
708.895,1.113464994,-0.993180156
709.049,1.114527065,-0.993306429
709.202,1.107311569,-0.992385853
709.355,1.105633076,-0.992095045
709.508,1.110696761,-0.99274654
709.661,1.10739921,-0.992252423
709.814,1.111861352,-0.992718864
709.968,1.110113138,-0.992448138
710.121,1.111356456,-0.992541126
710.274,1.114068554,-0.992798214
710.427,1.107944314,-0.992119685
710.58,1.112178544,-0.99271076
710.733,1.115702342,-0.993232594
710.885,1.110119627,-0.992526372
711.038,1.10985307,-0.992476885
711.191,1.1049916,-0.992006297
711.344,1.108823015,-0.992641286
711.497,1.106730522,-0.992343855
711.649,1.105136502,-0.992277376
711.802,1.110702075,-0.993083549
711.955,1.103692266,-0.992257505
712.107,1.1036798,-0.992255078
712.26,1.102322303,-0.992113623
712.413,1.104338948,-0.992425699
712.565,1.107745593,-0.9929066
712.718,1.111751453,-0.993408527
712.87,1.106432211,-0.992623025
713.022,1.108033291,-0.992843265
713.175,1.1065667,-0.992511044
713.327,1.111824154,-0.993192097
713.48,1.112307734,-0.993077127
713.632,1.106770496,-0.992288883
713.784,1.100638022,-0.991525439
713.936,1.108507243,-0.992574324
714.089,1.113205048,-0.993195439
714.241,1.109669838,-0.99287111
714.393,1.107115641,-0.992616133
714.545,1.103508976,-0.992235125
714.697,1.106093897,-0.992671353
714.849,1.102817114,-0.992234291
715.001,1.107524995,-0.992847603
715.153,1.107744153,-0.992914471
715.305,1.106939852,-0.992853373
715.457,1.107406732,-0.992842135
715.609,1.109662136,-0.993181985
715.761,1.09943931,-0.991845418
715.912,1.100121546,-0.991962611
716.064,1.106769221,-0.992775226
716.216,1.108502735,-0.992981423
716.368,1.108243194,-0.992885563
716.519,1.107959834,-0.992815249
716.671,1.104570194,-0.992338456
716.822,1.107614945,-0.992707374
716.974,1.106643274,-0.992382745
717.126,1.108055006,-0.992617031
717.277,1.105093844,-0.992247722
717.429,1.106739186,-0.992361679
717.58,1.109637668,-0.992762296
717.731,1.101819718,-0.991746114
717.883,1.107784052,-0.992557914
718.034,1.111109213,-0.993138871
718.185,1.110805103,-0.992966583
718.337,1.110208691,-0.992945899
718.488,1.098782692,-0.991532762
718.639,1.106851911,-0.992761752
718.79,1.110005761,-0.99323552
718.941,1.101191699,-0.992013488
719.093,1.102251728,-0.992151861
719.244,1.100759144,-0.992104377
719.395,1.104355026,-0.992590466
719.546,1.104882493,-0.99267231
719.697,1.105793608,-0.992810379
719.848,1.102297673,-0.992268181
719.998,1.100154747,-0.992034532
720.149,1.106796044,-0.992937757
720.3,1.098496979,-0.991686676
720.451,1.105575776,-0.992588873
720.602,1.104416691,-0.992426437
720.753,1.108119978,-0.992831451
720.903,1.107213544,-0.992707469
721.054,1.103544177,-0.992142455
721.205,1.103798018,-0.992129405
721.355,1.106375467,-0.992486339
721.506,1.110410865,-0.993076507
721.656,1.108655339,-0.992775653
721.807,1.106779421,-0.992569156
721.957,1.103477005,-0.992119055
722.108,1.107579205,-0.992691829
722.258,1.107515992,-0.992718406
722.409,1.108401002,-0.992864189
722.559,1.110375688,-0.993096624
722.709,1.105215995,-0.992403813
722.859,1.106827613,-0.992644527
723.01,1.105102715,-0.992401083
723.16,1.109635897,-0.992959864
723.31,1.09899937,-0.991590314
723.46,1.108492798,-0.993011954
723.61,1.102661783,-0.99238385
723.76,1.104186331,-0.992535979
723.91,1.103559983,-0.99250795
724.06,1.105128799,-0.992703656
724.21,1.104027705,-0.992551872
724.36,1.101828074,-0.992293805
724.51,1.104785733,-0.992640699
724.66,1.101746559,-0.992214207
724.81,1.099307862,-0.991889264
724.96,1.10258772,-0.992184115
725.11,1.104495761,-0.992295003
725.259,1.108766904,-0.992862533
725.409,1.114452839,-0.993562311
725.559,1.108264107,-0.99285007
725.708,1.107352039,-0.992511271
725.858,1.100779578,-0.991582536
726.008,1.107073148,-0.992202579
726.157,1.106285142,-0.992140752
726.307,1.106216055,-0.992217529
726.456,1.109454465,-0.992752742
726.606,1.114199259,-0.993472297
726.755,1.104687351,-0.992215702
726.904,1.109865319,-0.992904723
727.054,1.105682015,-0.992354794
727.203,1.105018648,-0.992337272
727.352,1.104272506,-0.992242344
727.502,1.104448831,-0.992219516
727.651,1.105339791,-0.99242783
727.8,1.102969012,-0.992195074
727.949,1.107242675,-0.992770042
728.098,1.106185968,-0.992634809
728.247,1.103312859,-0.992245834
728.396,1.102117593,-0.992088858
728.546,1.110205042,-0.993068994
728.694,1.107457992,-0.992693434
728.843,1.103608198,-0.992142077
728.992,1.109788968,-0.99304242
729.141,1.1007929,-0.991854641
729.29,1.105543883,-0.992412004
729.439,1.107913891,-0.99269575
729.588,1.10260439,-0.991966774
729.736,1.10023569,-0.9916537
729.885,1.101486894,-0.991827634
730.034,1.101030557,-0.991627828
730.183,1.109628348,-0.992764063
730.331,1.109238403,-0.992647672
730.48,1.105436436,-0.992128087
730.628,1.107235465,-0.992400731
730.777,1.109304879,-0.992567601
730.925,1.109094802,-0.992479058
731.074,1.10980991,-0.992580432
731.222,1.107348506,-0.992256941
731.371,1.105238133,-0.991875592
731.519,1.113930024,-0.992991237
731.667,1.105284107,-0.9919098
731.816,1.106300428,-0.992110579
731.964,1.106739505,-0.992167174
732.112,1.108168028,-0.992417879
732.26,1.106719672,-0.992289573
732.408,1.103826345,-0.991853506
732.557,1.110972527,-0.992793366
732.705,1.10774988,-0.992387838
732.853,1.105146231,-0.992013366
733.001,1.107813987,-0.992442993
733.149,1.110282909,-0.992744072
733.297,1.101946949,-0.991548993
733.445,1.109746183,-0.99264995
733.592,1.104843554,-0.991983866
733.74,1.105786444,-0.992075233
733.888,1.108264347,-0.992360808
734.036,1.104134573,-0.991712665
734.184,1.109272456,-0.992358426
734.331,1.114679386,-0.993017945
734.479,1.108408746,-0.992104802
734.627,1.111271394,-0.992450106
734.774,1.111398674,-0.992431159
734.922,1.10959394,-0.992115549
735.07,1.10965268,-0.992120464
735.217,1.11077407,-0.992237622
735.365,1.112825923,-0.992512392
735.512,1.110373016,-0.992148309
735.659,1.116385788,-0.992923031
735.807,1.108233996,-0.991771838
735.954,1.114297901,-0.99252046
736.102,1.118585341,-0.993136588
736.249,1.108282067,-0.991684342
736.396,1.112370079,-0.992283678
736.543,1.115215132,-0.992647624
736.691,1.111466633,-0.992138923
736.838,1.113562707,-0.992452474
736.985,1.114343917,-0.992533734
737.132,1.108405391,-0.991786277
737.279,1.10946481,-0.991874976
737.426,1.116079792,-0.992772084
737.573,1.111391631,-0.99214435
737.72,1.115626953,-0.992679045
737.867,1.10395531,-0.991160005
738.014,1.115477678,-0.992559313
738.161,1.112336771,-0.992106556
738.307,1.112614367,-0.992172057
738.454,1.11217979,-0.992018153
738.601,1.110414365,-0.991720859
738.748,1.114453665,-0.992164562
738.894,1.119757345,-0.992745053
739.041,1.115468764,-0.992136739
739.188,1.118846911,-0.992557266
739.334,1.121115114,-0.992764451
739.481,1.118294272,-0.992296736
739.627,1.118781799,-0.992274577
739.774,1.117474758,-0.992016837
739.92,1.120121938,-0.992335399
740.067,1.119029038,-0.992084604
740.213,1.120581935,-0.992261612
740.36,1.120248002,-0.992242465
740.506,1.119481438,-0.992023873
740.652,1.120442671,-0.992077049
740.798,1.119526455,-0.991971662
740.945,1.124825324,-0.992675279
741.091,1.125476046,-0.992797279
741.237,1.123118321,-0.992461659
741.383,1.125955899,-0.992789845
741.529,1.117277436,-0.99167583
741.675,1.122220882,-0.992326634
741.821,1.124714833,-0.992577209
741.967,1.123731444,-0.992470757
742.113,1.117138807,-0.991535208
742.259,1.121904159,-0.992048215
742.405,1.121756104,-0.991932317
742.551,1.124865252,-0.992293739
742.697,1.125293267,-0.992230991
742.843,1.127184873,-0.992400182
742.988,1.12920643,-0.992604202
743.134,1.128765738,-0.992458431
743.28,1.129137583,-0.992405137
743.426,1.127578471,-0.992048427
743.571,1.140839647,-0.993576791
743.717,1.130154003,-0.992090176
743.862,1.133244465,-0.992362226
744.008,1.137735602,-0.99274399
744.153,1.13396259,-0.992204146
744.299,1.143133883,-0.993245078
744.444,1.135729946,-0.992173644
744.59,1.138188285,-0.992352729
744.735,1.132926004,-0.991617621
744.88,1.144294135,-0.993013178
745.026,1.140133956,-0.992390811
745.171,1.145535465,-0.993078214
745.316,1.142856681,-0.992643892
745.461,1.145755291,-0.992839987
745.607,1.145381787,-0.992768447
745.752,1.145437168,-0.992736265
745.897,1.141183133,-0.992081994
746.042,1.140800976,-0.991884849
746.187,1.14559722,-0.992421266
746.332,1.147078666,-0.992556043
746.477,1.148980604,-0.992697754
746.622,1.146059912,-0.992129936
746.767,1.154604439,-0.993082556
746.912,1.15699517,-0.993283252
747.056,1.154842595,-0.99288768
747.201,1.158030639,-0.993080553
747.346,1.159939595,-0.993141227
747.491,1.151434234,-0.991900596
747.635,1.164570963,-0.993464691
747.78,1.164176993,-0.993171876
747.925,1.165382947,-0.993081053
748.069,1.167437352,-0.993229602
748.214,1.168203115,-0.992994859
748.358,1.172016345,-0.993288154
748.503,1.169779319,-0.992786487
748.647,1.169451415,-0.992615411
748.792,1.179555837,-0.993657042
748.936,1.174457905,-0.992776303
749.081,1.178282344,-0.993032237
749.225,1.18154379,-0.993359418
749.369,1.177949997,-0.992720157
749.514,1.184249012,-0.993309694
749.658,1.182836883,-0.992935534
749.802,1.189580513,-0.993717024
749.946,1.188358802,-0.9934463
750.09,1.186388687,-0.993069964
750.234,1.190307938,-0.993435029
750.378,1.191164793,-0.993319228
750.523,1.184665159,-0.992428974
750.667,1.192260281,-0.993180969
750.811,1.196302044,-0.993566732
750.954,1.200088675,-0.993888298
751.098,1.198353424,-0.993425037
751.242,1.20053255,-0.993529531
751.386,1.197991388,-0.993027002
751.53,1.202199652,-0.993298592
751.674,1.208551514,-0.993867617
751.817,1.207557788,-0.993495091
751.961,1.216414973,-0.994346782
752.105,1.215506346,-0.993914109
752.248,1.213861625,-0.993435798
752.392,1.220813014,-0.994165847
752.536,1.222938633,-0.994080541
752.679,1.226258722,-0.994098306
752.823,1.226482345,-0.993892538
752.966,1.228340711,-0.993874021
753.11,1.236289186,-0.99449858
753.253,1.234766079,-0.994114118
753.396,1.23495783,-0.994006026
753.54,1.238329262,-0.994162912
753.683,1.23914284,-0.993956981
753.826,1.242671232,-0.994134763
753.969,1.237118731,-0.993229167
754.113,1.245473295,-0.994011075
754.256,1.241029875,-0.993317336
754.399,1.25192221,-0.994368947
754.542,1.250743569,-0.994032897
754.685,1.255582418,-0.99438273
754.828,1.252754713,-0.993864645
754.971,1.254284601,-0.993917825
755.114,1.260778254,-0.994559314
755.257,1.250929611,-0.993177143
755.4,1.262133335,-0.994415183
755.543,1.260553311,-0.994097919
755.686,1.264333278,-0.994291348
755.829,1.259687999,-0.993567996
755.971,1.261734684,-0.993650473
756.114,1.272857436,-0.99468418
756.257,1.266909781,-0.99382286
756.399,1.268273506,-0.993659419
756.542,1.278417961,-0.994598517
756.685,1.274887319,-0.99394206
756.827,1.278686839,-0.994223903
756.97,1.278614004,-0.993928381
757.112,1.286609435,-0.994494453
757.255,1.285273094,-0.99414385
757.397,1.288227092,-0.994036749
757.54,1.293328504,-0.994344479
757.682,1.300361658,-0.994806994
757.824,1.299235984,-0.994364999
757.967,1.309134171,-0.995137997
758.109,1.303631339,-0.994155233
758.251,1.311573395,-0.994817423
758.393,1.315775858,-0.995037216
758.535,1.308540065,-0.993900447
758.678,1.321005031,-0.994862062
758.82,1.32235828,-0.994687838
758.962,1.318063989,-0.994043906
759.104,1.324915044,-0.994543516
759.246,1.330852268,-0.994806145
759.388,1.328823768,-0.994152556
759.53,1.340309544,-0.995127485
759.672,1.337657848,-0.994505032
759.814,1.343703242,-0.994870206
759.955,1.343298189,-0.994614498
760.097,1.354023474,-0.995535589
760.239,1.34653071,-0.99458174
760.381,1.3498691,-0.994801217
760.522,1.350368331,-0.994688033
760.664,1.35242079,-0.994754621
760.806,1.363138959,-0.995713789
760.947,1.354556436,-0.994497844
761.089,1.356131285,-0.994516275
761.23,1.361591565,-0.994869702
761.372,1.363937602,-0.994816311
761.513,1.366467058,-0.994788681
761.655,1.372029556,-0.994978527
761.796,1.378148841,-0.995242598
761.938,1.378714874,-0.994993884
762.079,1.380813444,-0.99483242
762.22,1.381948636,-0.994499893
762.362,1.394722562,-0.995436984
762.503,1.397771892,-0.995279169
762.644,1.395915244,-0.994824989
762.785,1.40083327,-0.995083801
762.926,1.398605279,-0.994396029
763.067,1.410313339,-0.995472465
763.208,1.413741731,-0.995495405
763.35,1.416080135,-0.995435866
763.491,1.417556809,-0.995532642
763.631,1.414436254,-0.995001254
763.772,1.419257332,-0.995165934
763.913,1.422411503,-0.995389448
764.054,1.425525027,-0.99552577
764.195,1.419268533,-0.994490399
764.336,1.421978596,-0.994681385
764.477,1.427677003,-0.994996711
764.617,1.441148752,-0.995999273
764.758,1.433748399,-0.994881509
764.899,1.437595056,-0.995018974
765.039,1.435811869,-0.994562096
765.18,1.447589264,-0.995252179
765.321,1.460349255,-0.996085942
765.461,1.454290027,-0.995061657
